RECORD_CREATION_DATE,MONTO_DEL_PRESTAMO,RANGO_DEL_CREDITO,DEUDA_EXISTENTE,NOTAS_DEL_AGENTE,UBICACION_DE_LA_OFICINA,PRESTAMO_INCUMPLIDO
01May2014:09:24:27.000000,2500,760-779,"$10,001-$20,000",,NORTHERN CALIFORNIA,FALSO
01May2014:09:48:36.000000,2500,700-719,"$1-$10,000","Ingreso anual neto: $25,400",SOUTHERN CALIFORNIA,FALSO
01May2014:10:10:36.000000,6300,740-759,"$100,000+",,ARIZONA,VERDADERO
01May2014:10:31:25.000000,4300,780-799,"$1-$10,000","Ingreso anual neto: $191,900",SOUTHERN CALIFORNIA,FALSO
01May2014:10:46:54.000000,20100,780-799,"$90,001-$100,000","Pagos mensuales de deuda verificados: $1,700",SOUTHERN CALIFORNIA,VERDADERO
01May2014:11:14:12.000000,6600,760-779,"$10,001-$20,000",,NORTHERN CALIFORNIA,FALSO
01May2014:11:23:11.000000,2500,700-719,"$100,000+","Ingreso anual neto: $63,100",ARIZONA,VERDADERO
01May2014:11:53:24.000000,10000,760-779,"$20,001-$30,000",,SOUTHERN CALIFORNIA,FALSO
01May2014:12:18:53.000000,8900,740-759,"$80,001-$90,000",,NORTHERN CALIFORNIA,FALSO
01May2014:12:32:41.000000,2500,760-779,"$30,001-$40,000","Pagos mensuales de deuda verificados: $590...Ingreso mensual neto 5,370",NORTHERN CALIFORNIA,FALSO
01May2014:12:52:26.000000,13000,720-739,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
01May2014:12:59:04.000000,2500,780-799,"$10,001-$20,000","Ingreso mensual neto 16,670",NORTHERN CALIFORNIA,VERDADERO
01May2014:13:29:21.000000,11000,700-719,"$70,001-$80,000",,NORTHERN CALIFORNIA,FALSO
01May2014:13:50:52.000000,35000,760-779,"$1-$10,000","Ingreso anual neto: $15,000",OREGON,FALSO
01May2014:13:57:11.000000,5900,780-799,"$20,001-$30,000",,SOUTHERN CALIFORNIA,FALSO
01May2014:14:29:59.000000,2500,760-779,"$1-$10,000",,WASHINGTON STATE,FALSO
01May2014:14:53:53.000000,2500,780-799,"$1-$10,000","Ingreso anual neto: $17,300",ARIZONA,FALSO
01May2014:15:07:34.000000,7600,700-719,"$20,001-$30,000","Ingreso mensual neto 1,250",WASHINGTON STATE,FALSO
01May2014:15:17:40.000000,2900,760-779,"$40,001-$50,000",,WASHINGTON STATE,VERDADERO
01May2014:15:23:38.000000,3000,740-759,,,SOUTHERN CALIFORNIA,FALSO
01May2014:15:38:11.000000,5100,700-719,"$60,001-$70,000","Ingreso anual neto: $58,300",SOUTHERN CALIFORNIA,FALSO
01May2014:15:58:39.000000,2500,780-799,,"El cliente no tiene deuda...Ingreso anual neto: $156,600",ARIZONA,VERDADERO
01May2014:16:26:10.000000,2500,740-759,"$20,001-$30,000","Ingreso mensual neto 4,150",ARIZONA,FALSO
01May2014:16:54:47.000000,2900,740-759,"$60,001-$70,000",,OREGON,FALSO
01May2014:17:21:12.000000,2500,760-779,,,OREGON,VERDADERO
01May2014:17:35:40.000000,9100,740-759,"$30,001-$40,000","Ingreso anual neto: $23,000",SOUTHERN CALIFORNIA,FALSO
01May2014:17:50:40.000000,9800,720-739,"$50,001-$60,000","Pagos mensuales de deuda verificados: $870...Ingreso anual neto: $47,200",NEVADA,FALSO
01May2014:18:14:03.000000,6900,700-719,"$30,001-$40,000","Pagos mensuales de deuda verificados: $550...Ingreso anual neto: $15,000",NEVADA,VERDADERO
01May2014:18:25:20.000000,5300,700-719,,,ARIZONA,FALSO
01May2014:18:38:45.000000,2800,780-799,"$30,001-$40,000",,NORTHERN CALIFORNIA,FALSO
02May2014:09:06:58.000000,7100,700-719,"$1-$10,000",,SOUTHERN CALIFORNIA,VERDADERO
02May2014:09:26:27.000000,2500,720-739,"$10,001-$20,000",,SOUTHERN CALIFORNIA,VERDADERO
02May2014:09:36:51.000000,4600,760-779,,,OREGON,VERDADERO
02May2014:10:02:48.000000,2700,720-739,,"El cliente no tiene deuda...Ingreso mensual neto 6,160",NEVADA,FALSO
02May2014:10:34:58.000000,6600,800+,,"Ingreso anual neto: $15,000",SOUTHERN CALIFORNIA,FALSO
02May2014:11:04:15.000000,12400,700-719,,,OREGON,FALSO
02May2014:11:17:53.000000,25000,700-719,,,ARIZONA,FALSO
02May2014:11:32:01.000000,3800,780-799,"$100,000+","Ingreso mensual neto 7,690",SOUTHERN CALIFORNIA,FALSO
02May2014:12:03:32.000000,3800,780-799,"$20,001-$30,000","Ingreso anual neto: $15,000",ARIZONA,FALSO
02May2014:12:34:24.000000,2500,780-799,"$20,001-$30,000",Pagos mensuales de deuda verificados: $440,NORTHERN CALIFORNIA,VERDADERO
02May2014:12:42:57.000000,2500,800+,"$10,001-$20,000","Ingreso anual neto: $187,200",WASHINGTON STATE,FALSO
02May2014:13:13:15.000000,7800,740-759,"$20,001-$30,000","Ingreso mensual neto 1,250",SOUTHERN CALIFORNIA,VERDADERO
02May2014:13:28:16.000000,7000,800+,,,OREGON,VERDADERO
02May2014:13:36:09.000000,7600,800+,"$1-$10,000",,NEVADA,VERDADERO
02May2014:14:00:00.000000,2500,720-739,"$100,000+","Ingreso anual neto: $65,200",ARIZONA,VERDADERO
02May2014:14:19:53.000000,2500,740-759,"$100,000+","Ingreso mensual neto 5,930...Pagos mensuales de deuda verificados: $2,130",ARIZONA,VERDADERO
02May2014:14:29:13.000000,2500,740-759,,"Ingreso mensual neto 6,970",SOUTHERN CALIFORNIA,FALSO
02May2014:14:56:13.000000,6400,700-719,"$100,000+","Ingreso anual neto: $62,400",SOUTHERN CALIFORNIA,FALSO
02May2014:15:21:07.000000,8500,780-799,"$30,001-$40,000",,ARIZONA,FALSO
02May2014:15:31:12.000000,2500,760-779,,"Ingreso anual neto: $45,800...El cliente no tiene deuda",NORTHERN CALIFORNIA,VERDADERO
02May2014:15:50:53.000000,6900,700-719,"$100,000+",,ARIZONA,VERDADERO
02May2014:16:15:25.000000,18500,740-759,"$1-$10,000","Ingreso anual neto: $27,200...Pagos mensuales de deuda verificados: $130",NEVADA,FALSO
02May2014:16:45:05.000000,2500,700-719,"$50,001-$60,000",,ARIZONA,FALSO
02May2014:16:59:15.000000,4700,700-719,"$60,001-$70,000",,NEVADA,FALSO
02May2014:17:09:58.000000,4400,780-799,"$60,001-$70,000","Ingreso anual neto: $106,400...Pagos mensuales de deuda verificados: $1,060",ARIZONA,FALSO
02May2014:17:28:20.000000,2500,720-739,"$20,001-$30,000","Ingreso anual neto: $75,500",ARIZONA,FALSO
02May2014:17:52:52.000000,2600,740-759,"$1-$10,000","Ingreso mensual neto 1,250",OREGON,FALSO
02May2014:18:14:00.000000,6200,740-759,"$20,001-$30,000","Ingreso mensual neto 4,420",WASHINGTON STATE,VERDADERO
02May2014:18:39:06.000000,2500,700-719,"$1-$10,000",,OREGON,VERDADERO
05May2014:09:00:08.000000,2500,780-799,"$20,001-$30,000",,WASHINGTON STATE,FALSO
05May2014:09:31:32.000000,14400,780-799,"$90,001-$100,000","Ingreso anual neto: $83,300",NORTHERN CALIFORNIA,FALSO
05May2014:10:03:30.000000,6300,800+,"$1-$10,000",,ARIZONA,VERDADERO
05May2014:10:33:00.000000,2500,780-799,"$90,001-$100,000",,NORTHERN CALIFORNIA,FALSO
05May2014:11:01:39.000000,2500,720-739,"$50,001-$60,000","Ingreso anual neto: $88,300",OREGON,FALSO
05May2014:11:26:01.000000,9100,760-779,"$20,001-$30,000",,ARIZONA,FALSO
05May2014:11:47:57.000000,4800,780-799,"$30,001-$40,000",,ARIZONA,FALSO
05May2014:12:01:42.000000,2500,700-719,,"Ingreso anual neto: $22,300",SOUTHERN CALIFORNIA,FALSO
05May2014:12:29:03.000000,2500,760-779,"$20,001-$30,000","Ingreso anual neto: $22,800",NEVADA,FALSO
05May2014:12:50:26.000000,23800,780-799,,,WASHINGTON STATE,FALSO
05May2014:13:02:42.000000,11700,720-739,"$10,001-$20,000","Ingreso mensual neto 1,380...Pagos mensuales de deuda verificados: $260",ARIZONA,FALSO
