edad,trabajo,estado_civil ,educacion,total_hijos,credito_sin_pago,prestamo_vivienda,prestamo_personal,valor_prestamo,dias_ultimo_pago,tarjetas_credito,contacto,mes,dia_semana,duracion_ultimo_contacto,dias_ultimo_contacto,anterior_contacto,numero_empleados,si_no
44,blue-collar,married,preschool,7,unknown,yes,no,268017,0,5,cellular,aug,thu,210,43,0,88,0
53,technician,married,unknown,1,no,no,no,0,0,0,cellular,nov,fri,138,0,0,14,0
28,management,single,university.degree,3,no,yes,no,308036,0,0,cellular,jun,thu,339,27,2,1993,1
39,services,married,Technological_school,1,no,no,no,0,0,4,cellular,apr,fri,185,0,0,1338,0
55,retired,married,preschool,2,no,yes,no,249888,0,4,cellular,aug,fri,137,2,1,1184,1
30,management,divorced,preschool,6,yes,yes,no,499476,75,1,cellular,jul,tue,68,90,0,1553,0
37,blue-collar,married,preschool,6,no,yes,no,86520,0,5,cellular,may,thu,204,66,0,442,0
39,blue-collar,divorced,tecnical_school,4,no,yes,no,176081,0,1,cellular,may,fri,191,51,0,495,0
36,admin.,married,university.degree,6,no,no,no,0,0,3,cellular,jun,mon,174,0,1,1097,1
27,blue-collar,single,preschool,3,no,yes,no,323709,0,1,cellular,apr,thu,191,33,1,414,0
34,housemaid,single,university.degree,8,no,no,no,0,0,5,telephone,may,fri,62,0,0,1600,0
41,management,married,university.degree,2,no,yes,no,429832,0,5,cellular,aug,thu,789,14,0,1630,0
55,management,married,university.degree,7,no,no,no,0,0,4,cellular,aug,mon,372,0,0,1515,1
33,services,divorced,Technological_school,6,no,yes,no,337531,0,1,cellular,may,tue,75,76,0,388,0
26,admin.,married,Technological_school,4,no,no,yes,93561,0,5,telephone,jun,mon,1021,23,0,858,0
52,services,married,Technological_school,3,unknown,yes,no,365643,0,2,cellular,jul,thu,117,54,0,1342,0
35,services,married,Technological_school,8,no,no,no,0,0,1,cellular,apr,thu,1034,0,0,1880,1
27,admin.,single,university.degree,3,no,no,no,0,0,2,telephone,oct,tue,540,0,0,1972,1
28,blue-collar,married,tecnical_school,7,unknown,no,no,0,0,0,telephone,may,thu,140,0,0,308,0
26,unemployed,single,tecnical_school,1,yes,yes,yes,113637,45,1,cellular,jul,mon,104,28,0,286,0
41,unemployed,married,tecnical_school,2,yes,yes,no,123190,23,4,telephone,apr,fri,246,26,1,1600,0
35,blue-collar,single,unknown,8,yes,no,yes,363995,49,0,telephone,jun,fri,1114,21,0,20,0
40,admin.,married,university.degree,0,yes,yes,no,449368,14,1,telephone,jul,wed,340,42,0,1891,0
32,technician,single,professional.course,2,no,no,no,0,0,1,cellular,jul,thu,35,0,0,1177,0
41,blue-collar,married,Technological_school,3,yes,yes,yes,180508,83,4,cellular,jul,thu,241,21,0,14,0
34,entrepreneur,single,university.degree,1,yes,yes,no,321167,56,4,cellular,may,tue,168,49,0,214,0
49,technician,divorced,unknown,4,no,yes,yes,444410,0,5,cellular,oct,thu,81,87,0,1690,0
37,admin.,married,Technological_school,3,no,yes,no,381297,0,5,cellular,apr,thu,226,15,1,1362,0
35,blue-collar,married,primary_school,4,unknown,yes,no,120667,0,5,cellular,may,fri,746,37,0,365,0
38,blue-collar,single,preschool,0,unknown,no,no,0,0,3,telephone,jul,tue,41,0,0,1995,0
47,services,divorced,Technological_school,0,no,no,no,0,0,2,telephone,jun,tue,115,0,0,1851,0
46,admin.,married,university.degree,2,no,no,no,0,0,5,cellular,may,thu,227,0,0,539,0
27,technician,married,professional.course,5,no,yes,no,299416,0,0,cellular,may,mon,275,49,0,1652,0
