user,location,tweet,sentiment,probability
EdwinAriasLeon,"Bogota, Colombia","RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…",Positivo,77
Cormagdalena,Colombia,RT @MinTransporteCo: 👏Celebra la importante labor de nuestros camioneros 🚚 con un mensaje de agradecimiento con la etiqueta #HéroesEnLaVía…,Positivo,72
roberto1610_e,"Medellín, Colombia","RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…",Positivo,77
volquetasmedall,,RT @AVA_antioquia: Un agradecimiento muy especial en todo el país a nuestros #HeroesEnLaVia siempre construyendo país y atentos a toda cala…,Positivo,78
midnightmessx,,RT @CEPI_Colombia: ¿Qué están haciendo las personas más ricas del mundo para mitigar los efectos del #Covid_19 ? Abril Molina @_AbrilMolina…,Positivo,65
PerezLopezGomez,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…",Positivo,70
JaviGiraldoM,Bogotá,"RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…",Positivo,57
nestor_suescun,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…",Positivo,70
oromanck_,"San Gil, Colombia","RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…",Positivo,77
juan_sierrac,Bogotá,"RT @juanesgil1: Todos los colombianos hoy les damos gracias a cada transportador, controlador vial, camionero, taxista y operario por su in…",Positivo,88
ramirojosetorre,"Barrancas, Colombia",RT @IngenieriaSCI: Detente✋ y tómate un momento para enviarle un mensaje📨 de agradecimiento a nuestros #HéroesEnLaVía que en medio de este…,Positivo,61
AutopistasUraba,"Medellín, Colombia",No hay derrumbe o emergencia que estos #HéroesEnLaVía🛣️ no estén dispuestos a atender para que las carreteras estén… https://t.co/pn1sBLp342,Positivo,67
AutopistasUraba,"Medellín, Colombia",Detrás del volante de cada SITM🚌 hay un valiente entregado a su tarea de transportar a quienes hacen que el país🇨🇴… https://t.co/nDkz3WO4iD,Positivo,65
Patrymard,,RT @MONTERIAAMABLE: Detente✋ y tómate un momento para enviarle un mensaje📨 de agradecimiento a nuestros #HéroesEnLaVía que en medio de este…,Positivo,61
Patrymard,,RT @MONTERIAAMABLE: No quisieras agradecer a los valientes que han llevado la comida a las ciudades por su compromiso con el país? Te invit…,Positivo,68
OsnoflaCo,,"RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…",Positivo,77
mapica1968,"Santander, Colombia","RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…",Positivo,57
Jairocofla,,"RT @Supertransporte: Si todos los colombianos descargan la aplicación móvil ‘CoronApp - Colombia’, podremos focalizar los puntos de contagi…",Positivo,62
dianas_o,"Bogotá, Colombia","RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…",Positivo,57
dairo_buitrago,,"RT @Supertransporte: Si todos los colombianos descargan la aplicación móvil ‘CoronApp - Colombia’, podremos focalizar los puntos de contagi…",Positivo,62
njulian__,"Bogotá, Colombia","RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…",Positivo,57
