user,location,text
Meteovargas,"Táchira, Venezuela","Nubosidad productora de precipitaciones, algunas acompañadas de actividad eléctrica en áreas de Amazonas, sur de Bo… https://t.co/gKP4KRhmoi"
laprimerisima91,,"#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/R4VJGhKRXU"
INAMEH,Venezuela,"#1Abr #INAMEHInforma Nubosidad productora de precipitaciones, algunas acompañadas de actividad eléctrica en áreas d… https://t.co/qtgxpfxa7o"
PMirador,"Zacatecas, México",😷 Así el #Reporte de #Covid-19 en #Zacatecas 😷 #QuedateEnTuCasa https://t.co/Cusx6Aw1yv
POSITIVAFMRADIO,"Tunja, Colombia","@MinSaludCol #Reporte🦠 Confirma 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con… https://t.co/ucnRMyickH"
siete_junio,,35 fallecidos en México por Coronavirus #Reporte https://t.co/0HEonkpTtw
AlcaldiaUrumita,,"#Reporte🦠 @MinSaludCol confirma 159 nuevos casos de coronavirus y 1 fallecido en Colombia, para un total de 1.065 p… https://t.co/w6jHfqbV8k"
CoronavirusL,,"#HULTIMAHORA #Reporte de #Coronavirus 🦠 en 🇨🇴 #Colombia. 

Se confirman 159 casos nuevos de coronavirus 🦠 y 1 falle… https://t.co/0YBEfwKbpE"
Uribiastereo,"Uribia, Colombia","@MinSaludCol #Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes c… https://t.co/ctObeBGXgA"
ese_imsalud,"Cúcuta, Colombia","#Reporte🦠
.
El Ministerio de Salud Confirma 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pa… https://t.co/uLz8xBVkP2"
ElIntermediari3,,#Reporté| Se incrementa a cinco  casos más de COVID-19 en el Tolima. https://t.co/08eWmZ5SNO
RedDeApoyoSIC,Santiago De Cali,"#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/KYoD7cLSU4"
Kevinvanegastv,"Pereira, Colombia","#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/cgluNMCDr8"
InnSocialWeb,,"ATENCIÓN
#Reporte @MinSaludCol - 1 de abril de 2020. #Covid19Colombia https://t.co/462ggNkw3a"
LaPalestraCO,Huila - Colombia,"#Atención #Reporte🦠 El Ministerio de Salud y Protección Social confirma 159 casos nuevos de #Covid_19, 6 de ellos e… https://t.co/1lpyyAzDoi"
Soachacomunica,"Soacha, Cundinamarca","#Reporte🦠 
El @MinSaludCol confirma 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes… https://t.co/A0FmYXIJCD"
fronteravivanew,Colombia,"1Abr 🇻🇪 | 🇨🇴 #Reporte🦠Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes co… https://t.co/Ur2kbeKXdR"
tsmnoticias,Neiva - Huila - Colombia,"#Reporte🦠 
A 30 se eleva el número de casos en #Neiva y el #Huila 

El Ministerio de Salud confirma 159 casos nuevo… https://t.co/TATETLJ52k"
avanewstv,Worldwide ,"#Reporte🦠 confirman 159 nuevos casos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y 1… https://t.co/1xcNJ8r03Q"
NotiAtlantico1,Colombia,Confirmamos 2 casos más en Barranquilla  para un total de 31. #Barranquilla #Reporte #ReporteCovid19… https://t.co/OgY0Nylac3
jhoseph227,"BUCARAMANGA, COLOMBIA.","#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/2YelGibKw5"
magazincesar,"Cesar, Colombia","#Noticias #colombia #Covid_19
#Reporte🦠

Se Confirman 159 casos nuevos de coronavirus y 1 fallecido, para un total… https://t.co/FFV1ok2fIr"
miboyaca_co,Tunja   ,"Último   #Reporte  @MinSaludCol   Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065… https://t.co/QQ04MMoHAP"
Moises31406791,España,"#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/JHMJabPPhd"
PabloRodriguezB,Barranquilla,"""#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19… https://t.co/Nd1yKP3FY4"
AmericaDigital,Continente Americano,"Atención #REPORTE actualizado de número de casos confirmados y muertes por coronavirus en #EEUU 

https://t.co/FruNY9jlSN"
NoticiasBQ,"Barranquilla, Colombia","#Reporte🦠#COVID2019 🇨🇴 
😷  Nuevos Casos: 
✅ Pacientes Recuperados:39
⚰️ Fallecidos: 17
📈Total contagios: 1.065 paci… https://t.co/67G2IYq7cR"
jpserna,Barranquilla/Colombia,"#Reporte🦠#COVID2019 🇨🇴 
😷  Nuevos Casos: 
✅ Pacientes Recuperados:39
⚰️ Fallecidos: 17
📈Total contagios: 1.065 paci… https://t.co/3xzszDvmUY"
Boyacaaldia89_1,"Tunja, Colombia","#Reporte🦠 
El ministerio de Salud Confirma 159 casos nuevos de coronavirus en el país y 1 fallecido, para un total… https://t.co/fHJCFuvCpb"
famer1111,floridablanca,"@vanguardiacom #Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes… https://t.co/8zyDgOPkWq"
BananaStereo,"Chigorodó (Urabá), Antioquia","#Reporte 🦠 #CoronaVirus 

Se confirman hoy miércoles 1 de abril, 159 casos nuevos de coronavirus y 1 fallecido, par… https://t.co/V1xaq8MPe1"
sofyvaldivia,"Oaxaca, México",#REPORTE Ⓜ️ 🚔🚨 Elementos de la 23va. Compañía de Infantería No Encuadrada en coordinación con autoridades y habitan… https://t.co/Oyvp4wtZgv
CanalSurPatagon,"Coyhaique, Región de Aysén, Patagonia, Chile",#Reporte de hoy Miércoles 01.04.2020 COVID-19 #Coronavirus #Aysen https://t.co/CeIPAsSIi8 vía @YouTube
Canalmonteria,"Montería, Córdoba","#Reporte🦠 Confirmados 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/twVtM3tfaq"
SucreComunica,Sincelejo,"#colombia #sincelejo #Reporte Se confirman 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pac… https://t.co/6JVqzcC05t"
PaolaSenadora,Colombia,"#Reporte🦠 Confirmados 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/4ZOWpvewk9"
eliradio,cucuta - colombia,"#Reporte🦠

Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19… https://t.co/LOUnWM6h8n"
Jaime_Lacouture,"Bogotá, DC, Colombia","#Reporte de hoy 1 de abril Confirman 159 casos nuevos y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/cWXgNHtVlJ"
mirandatv22,"Miranda, Colombia","#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/4FX6nWPHmB"
Periodico_Valle,"Guadalajara de Buga, Colombia","#Reporte del Ministerio de Salud confirmados 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 p… https://t.co/hpQxDh1MJ0"
facetasdeboyaca,"Tunja, Boyacá","#CovidEnColombia #Reporte Confirmamos 159 casos nuevos de #coronavirus y 1 fallecido, para un total de 1065 pacient… https://t.co/VeiYVxcBUC"
android_choco,Quibdó - Chocó,"#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/1SrrATCcMo"
ElOjoVallenato,Colombia,"#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/myHx2x4AR5"
wrojaspalma,,"#Reporte🦠 @MinSaludCol Confirma 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con… https://t.co/f0BXeXOLny"
AjuaaNoticiasMx,Saltillo Coahuila,"Suman ya 59 casos confirmados de #Covid_19 en #Coahuila 

#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTR… https://t.co/UJHnnEYPA9"
Capitalsalud,"Bogotá, Villavicencio y 22 mun","#Reporte🦠 @MinSaludCol Confirma 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con… https://t.co/FmNtHqmV53"
MinSaludCol,,"#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/GIdMmeQBc9"
miltonandree,Coahuila,"#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTROL DEL #COVID_19

• Actualización de las 12:00 horas.

 Co… https://t.co/IZSbUAp5Aw"
GobDeCoahuila,Coahuila de Zaragoza,"#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTROL DEL #COVID_19

• Actualización de las 🕚12:00 horas.

 C… https://t.co/UK7RudshPt"
VTVcanal8,Venezuela,"#REPORTE VTV 🗣️| El estado Guárico cuenta con tres centros centinelas, uno de ellos en el hospital Dr. Francisco Ur… https://t.co/sQGxcpAzmW"
WazeVen,Venezuela,Vía @INAMEH #1Abr #INAMEHInforma Condiciones Meteorológicas próximas 06 Horas #Reporte de las 12:25 HLV.… https://t.co/XTkIRrfdlF
AGINFOR,En AGENCIA GLOBAL DE INFORMACI,"#AGINFORMACION... ""EL #VEHÍCULO CONTABA CON DOS NÚMEROS DE #SERIE DIFERENTES, UNO DE ELLOS CON #REPORTE DE #ROBO...… https://t.co/eZGAbBCYWy"
G_GomezJ,Santo Domingo,"#Reporte de hoy #MinisteriodeSalud de #RD, dice daumentaron de 51 a 57 los #dominicanos #fallecidos hasta el día de… https://t.co/JJ6Xce0DwS"
Puebla_Enterate,"Puebla, México",#Reporte Vecinos entre Calle Vicente Guerrero y Calle Nicolás Bravo Col. Patrimonio refieren que los perros que se… https://t.co/TziTbqrQ4O
INAMEH,Venezuela,"#1Abr #INAMEHInforma Ubicación de la Zona de Convergencia Intertropical, Baja Presión en el norte de Colombia, dos… https://t.co/GH58TXUMC1"
INAMEH,Venezuela,"#1Abr #INAMEHInforma Condiciones Meteorológicas próximas 06 Horas #Reporte de las 12:25 HLV.
@tutiempopereira… https://t.co/GjcqNA1ZmZ"
bieinoticias,"Buenos Aires, Argentina","#bieitv #reporte @msalnacion 

Encabezado por la Especialista @carlavizzotti 

Miralo en https://t.co/b0DknrMY1Z https://t.co/MelTz9MgMJ"
sofyvaldivia,"Oaxaca, México","#ReporteⓂ️🚔🚨Un hombre fue asesinado a balazos en una vivienda de Salina Cruz, #Oaxaca.

Ⓜ️ El hallazgo se realizó l… https://t.co/v0uh9LXNzM"
sonsonateando,"Sonsonate, El Salvador","#Reporte | Es lamentable la situación, en el primer reporte de la mañana en el Centro de Sonsonate son miles de per… https://t.co/1K0ExBkIX1"
OaxacaesNoticia,,"#Reporte 🚔🚨 Un hombre fue asesinado a balazos en una vivienda de Salina Cruz, #Oaxaca, el cadáver fue encontrado es… https://t.co/a5cwg8xOIX"
jiazhac,Edo. Miranda Los Teques ,@Gabrielasjr #reporte 21811281 Fui a CANTV a ver que pasaba  con este reporte la persona que me atendidio no entien… https://t.co/78hzBudSwJ
ptilogistica,Díaz Gana 1071 piso 1,"#ATENCIÓN- #Reporte N°3 Miércoles 01 de Abril de 2020, 07:40 hrs.💡Revisa todos los reportes en nuestra Fanpage
👉… https://t.co/SXicesphcS"
pintinho9,"BOGOTA, COLOMBIA",@MinSaludCol #Reporte #COVIDー19 @PoliciaColombia @MinSaludCol @BluRadioCo @Bogota @ClaudiaLopez Y QUE TAL SI SE PEG… https://t.co/ZHSkiq1u09
VzlaCovid19,,"#Reporte final del mes de #marzo, por #COVIDー19 en #Venezuela 

#Abril https://t.co/43Nu8KOa2z"
VzlaCovid19,,"#Reporte final del mes de #marzo, por #COVIDー19 en #Venezuela 

#Abril https://t.co/gurnwi42DI"
SoryImbert,México #CDMX,"#DIOS MIO! 😭💔

#Ecuador 🇪🇨:  #Periodista rompe en #llanto  #EnVivo ante un #reporte con respecto al #coronavirus

E… https://t.co/KrffwVmPQY"
CentralReedan,,#1Abr #INAMEHInforma Mapa de Riesgo de Incendios Forestales #Reporte de las 06:00 HLV @tutiempopereira… https://t.co/dn3sd5iSxh
CentralReedan,,"#1Abr #INAMEHInforma Declinación solar hoy en los 5° 00' 44'' Norte, incidiendo perpendicularmente sobre el norte d… https://t.co/hrfgDablnN"
