user,location,tweet,sentiment,probability
cerosetenta,Bogotá-Colombia,"El #PicoYGénero no funcionó como medida para evitar aglomeraciones en Perú. 
¿Qué aprendizajes le puede traer a la… https://t.co/zk57VSGMSC",Positivo,50
prikarios,"Bogotá, Colombia ","Eso del pico y género propicia, aún más,el acoso callejero a las mujeres que debe salir por razones laborales o de… https://t.co/H3UTVl7bys",Positivo,55
Sentiido,Colombia,Los establecimientos comerciales como #D1 y muchos otros lugares también deben capacitar a sus empleados para respe… https://t.co/82TGWiIXIQ,Positivo,62
Sentiido,Colombia,"A situaciones como esta era que nos referíamos cuando hablábamos en un hilo anterior sobre la ""vigilancia del géner… https://t.co/hHVzGH0ZxA",Positivo,68
kathadmai,"Bogotá, colombia",Ayer salí a comprar alimento y el número de carros sobre la Boyacá era casi cero y hoy que es impar veo una cantida… https://t.co/CHIuZfa7xo,Positivo,77
cerosetenta,Bogotá-Colombia,“Creo que si la medida en Bogotá se mantiene hay que tener claridad sobre las sanciones a los funcionarios que vuln… https://t.co/7A1g9qOre0,Negativo,49
LoreKrin,,"¡Señora, usted realmente no sabe qué es una fila y la distancia que debemos tener! 🤬 #PicoyGenero",Positivo,65
MarcyAlejandra,"Bogotá, D.C., Colombia",Desde el limitadísimo campo visual de mi ventana puedo decir que el #PicoYGénero ha servido para que la gente a la… https://t.co/h91Ji5ed0l,Positivo,57
RaulARiosL1,BOGOTÁ COLOMBIA,¿Que es lo que está pasando en la localidad de Suba Sñrs @ALCALDIASUBA11 @JulianMorenoB @Bogota @ClaudiaLopez porqu… https://t.co/AZ2N9SsbZd,Positivo,65
FUNDAMEJORHIV,SUBA BOGOTÁ D. C. ,¿Que es lo que está pasando en la localidad de Suba Sñrs @ALCALDIASUBA11 @JulianMorenoB @Bogota @ClaudiaLopez porqu… https://t.co/NKBjPXUz7Y,Positivo,65
cerosetenta,Bogotá-Colombia,"El #PicoYGénero funciona en su finalidad última, reducir la cantidad de personas en las calles, pero ¿a qué costo?… https://t.co/A78MWDiKsV",Positivo,62
_TuyaJulieta,Bogotá- Colombia,"Con el bigote que tengo ya, no creo que pase nada si salgo hoy. 

#PicoyGenero",Positivo,68
MagikAirMusic,,"Que opinan de estos cáculo de personas en la calle por cuenta del #PicoYGenero ?

YO: La medida no amplia la cantid… https://t.co/cW6XZOafej",Positivo,59
pagatodo,Colombia,Suspendemos la medida de #PicoyCédula debido al #PicoyGénero decretado por Alcaldía de @Bogota https://t.co/U0rFc7C5te,Positivo,67
86Diayana,Colombia,O que muchos se rebuscan día a día y les toca comprar su alimento a diario y no pueden hacer mercados para una sema… https://t.co/ia3APWd1LP,Positivo,62
86Diayana,Colombia,@ClaudiaLopez qué es eso de q están multando los negocios que atiendan a las mujeres u hombres q salgan el día de… https://t.co/0aIayer0B9,Positivo,67
djjhondiaz,,"@ClaudiaLopez #PicoyGenero Alcaldesa @MinSaludCol @Supersalud @EPS_Famisanar NO ESTÁN CUMPLIENDO, ya se coloco la q… https://t.co/uhXTBhJimw",Positivo,67
NoticiasRPTV,"Bogotá, D.C., Colombia","#Política I 🇨🇴

@DeLaCalleHum, excandidato presidencial, se encuentra cumpliendo el decreto de #PicoyGenero y salió… https://t.co/JXt2CORIib",Positivo,72
majezevallos,México,"""Pueden existir otras medidas que no impliquen vulnerar los derechos de estas poblaciones, cuando la norma general… https://t.co/QbV5pGZslA",Positivo,66
JorgeAcWilches,,"Ninguna de las condiciones para que la medida sea efectiva se dan en Bogotá. Ninguna. Pasará lo mismo que en Perú,… https://t.co/Oa5llo30Ae",Positivo,58
oscar_vergaraOV,,@MartinSantosR Que día te tocaría salir a comprarla? #PicoyGenero #PicoYCedula,Positivo,62
Caribeafirmativ,"Barranquilla, Atlántico",🏳️‍⚧️Entre nosotrxs nos cuidamos. Así que creamos estas recomendaciones para ti. #PicoyGenero #Cartagena… https://t.co/xGhgvJquEJ,Positivo,68
Caribeafirmativ,"Barranquilla, Atlántico",🏳️‍🌈¿Eres de #Cartagena? ¿Eres una persona con expresión e identidad de género diversa o no binaria? ¿Necesitas sal… https://t.co/uPWJxwaSrk,Positivo,65
cerosetenta,Bogotá-Colombia,"#PicoYGénero 
Mientras en Perú se registraba una disminución del 56% de personas que se desplazaban a mercados a fi… https://t.co/dp6xbHKbgo",Positivo,60
KLorenaPinqy,Colombia,@ClaudiaLopez Aqui en mi barrio pasan los policías ven a mujeres en la calle y no pasa absolutamente nada!!! No ent… https://t.co/kAiC5EZ9XE,Positivo,64
EricKrOcHs,Colombia,Tercer día de #PicoyGenero y nada que aprendemos hacer mercado.,Positivo,56
MagikAirMusic,,"@alex_arvaloez Yo no vengo aca a que me den la razon y menos sobre algo que no he dicho

puede demostrar con cifras… https://t.co/m8fF7HtgNy",Negativo,57
LCCaballeroV,,Gracias al #picoygenero pude hacer mercado en la tercera parte del tiempo usual en estos días. @ClaudiaLopez @LuisErnestoGL #FelizMiercoles,Positivo,86
sarag12,"Bogotá, DC, Colombia","La medida de #PicoyGenero

4. Ha centrado la atención del debate en los posibles abusos a las personas de sexualida… https://t.co/4deKNYt4Qj",Positivo,65
sarag12,"Bogotá, DC, Colombia","La medida de  #PicoyGenero

3.  No es una decisión articulada con los municipios vecinos a Bogotá. Desconoce las di… https://t.co/3CfnFD4azE",Positivo,66
sarag12,"Bogotá, DC, Colombia","La medida de  #PicoyGenero

2. Asume que la distribución de mujeres y hombres por localidad es la misma. Eso es un… https://t.co/pJlRqmVkrq",Positivo,63
sarag12,"Bogotá, DC, Colombia","La implementación de la medida de #PicoyGenero en Bogotá tiene varios problemas (Abro hilo):

1. Asume que hay la m… https://t.co/fyL5PfzBD7",Positivo,53
