user,location,tweet
cerosetenta,Bogotá-Colombia,"El #PicoYGénero no funcionó como medida para evitar aglomeraciones en Perú. 
¿Qué aprendizajes le puede traer a la… https://t.co/zk57VSGMSC"
prikarios,"Bogotá, Colombia ","Eso del pico y género propicia, aún más,el acoso callejero a las mujeres que debe salir por razones laborales o de… https://t.co/H3UTVl7bys"
Sentiido,Colombia,Los establecimientos comerciales como #D1 y muchos otros lugares también deben capacitar a sus empleados para respe… https://t.co/82TGWiIXIQ
Sentiido,Colombia,"A situaciones como esta era que nos referíamos cuando hablábamos en un hilo anterior sobre la ""vigilancia del géner… https://t.co/hHVzGH0ZxA"
kathadmai,"Bogotá, colombia",Ayer salí a comprar alimento y el número de carros sobre la Boyacá era casi cero y hoy que es impar veo una cantida… https://t.co/CHIuZfa7xo
cerosetenta,Bogotá-Colombia,“Creo que si la medida en Bogotá se mantiene hay que tener claridad sobre las sanciones a los funcionarios que vuln… https://t.co/7A1g9qOre0
LoreKrin,,"¡Señora, usted realmente no sabe qué es una fila y la distancia que debemos tener! 🤬 #PicoyGenero"
MarcyAlejandra,"Bogotá, D.C., Colombia",Desde el limitadísimo campo visual de mi ventana puedo decir que el #PicoYGénero ha servido para que la gente a la… https://t.co/h91Ji5ed0l
RaulARiosL1,BOGOTÁ COLOMBIA,¿Que es lo que está pasando en la localidad de Suba Sñrs @ALCALDIASUBA11 @JulianMorenoB @Bogota @ClaudiaLopez porqu… https://t.co/AZ2N9SsbZd
FUNDAMEJORHIV,SUBA BOGOTÁ D. C. ,¿Que es lo que está pasando en la localidad de Suba Sñrs @ALCALDIASUBA11 @JulianMorenoB @Bogota @ClaudiaLopez porqu… https://t.co/NKBjPXUz7Y
cerosetenta,Bogotá-Colombia,"El #PicoYGénero funciona en su finalidad última, reducir la cantidad de personas en las calles, pero ¿a qué costo?… https://t.co/A78MWDiKsV"
_TuyaJulieta,Bogotá- Colombia,"Con el bigote que tengo ya, no creo que pase nada si salgo hoy. 

#PicoyGenero"
MagikAirMusic,,"Que opinan de estos cáculo de personas en la calle por cuenta del #PicoYGenero ?

YO: La medida no amplia la cantid… https://t.co/cW6XZOafej"
pagatodo,Colombia,Suspendemos la medida de #PicoyCédula debido al #PicoyGénero decretado por Alcaldía de @Bogota https://t.co/U0rFc7C5te
86Diayana,Colombia,O que muchos se rebuscan día a día y les toca comprar su alimento a diario y no pueden hacer mercados para una sema… https://t.co/ia3APWd1LP
86Diayana,Colombia,@ClaudiaLopez qué es eso de q están multando los negocios que atiendan a las mujeres u hombres q salgan el día de… https://t.co/0aIayer0B9
djjhondiaz,,"@ClaudiaLopez #PicoyGenero Alcaldesa @MinSaludCol @Supersalud @EPS_Famisanar NO ESTÁN CUMPLIENDO, ya se coloco la q… https://t.co/uhXTBhJimw"
NoticiasRPTV,"Bogotá, D.C., Colombia","#Política I 🇨🇴

@DeLaCalleHum, excandidato presidencial, se encuentra cumpliendo el decreto de #PicoyGenero y salió… https://t.co/JXt2CORIib"
majezevallos,México,"""Pueden existir otras medidas que no impliquen vulnerar los derechos de estas poblaciones, cuando la norma general… https://t.co/QbV5pGZslA"
JorgeAcWilches,,"Ninguna de las condiciones para que la medida sea efectiva se dan en Bogotá. Ninguna. Pasará lo mismo que en Perú,… https://t.co/Oa5llo30Ae"
oscar_vergaraOV,,@MartinSantosR Que día te tocaría salir a comprarla? #PicoyGenero #PicoYCedula
Caribeafirmativ,"Barranquilla, Atlántico",🏳️‍⚧️Entre nosotrxs nos cuidamos. Así que creamos estas recomendaciones para ti. #PicoyGenero #Cartagena… https://t.co/xGhgvJquEJ
Caribeafirmativ,"Barranquilla, Atlántico",🏳️‍🌈¿Eres de #Cartagena? ¿Eres una persona con expresión e identidad de género diversa o no binaria? ¿Necesitas sal… https://t.co/uPWJxwaSrk
cerosetenta,Bogotá-Colombia,"#PicoYGénero 
Mientras en Perú se registraba una disminución del 56% de personas que se desplazaban a mercados a fi… https://t.co/dp6xbHKbgo"
