COD_INMUEBLE,NOM_SUCURSAL,NOM_BARRIO,NOM_CIUDAD,ESTRATO,TIPO_INMUEBLE,AREA,VLR_CANON,VLR_ADMINISTRACION,FECHA_CONSIGNACION,FECHA_RECONSIGNACION,FECHA_CONTRATO,COD_ESTADO_CONTRATO
1,BARRANCABERMEJA,EL PALMAR,BARRANCABERMEJA,CUATRO,APARTAMENTO,23,632600,167400,'10/09/2020',,'12/09/2020',VIGENTE
2,BARRANCABERMEJA,COLOMBIA,BARRANCABERMEJA,TRES,LOCAL,11,500000,0,'11/04/2018',,'26/11/2020',VIGENTE
3,BARRANCABERMEJA,COLOMBIA,BARRANCABERMEJA,TRES,APARTAMENTO,24,500000,0,'11/04/2018',,'22/06/2019',INACTIVO
4,BARRANCABERMEJA,COLOMBIA,BARRANCABERMEJA,TRES,LOCAL,20,515900,0,'11/04/2018',,'18/04/2018',INACTIVO
5,BARRANCABERMEJA,TORCOROMA,BARRANCABERMEJA,TRES,APARTAMENTO,33,729000,271000,'22/09/2020',,'24/10/2020',VIGENTE
6,BARRANCABERMEJA,COLOMBIA,BARRANCABERMEJA,CUATRO,CASA,23,520600,129400,'21/10/2020',,'30/10/2020',VIGENTE
7,BARRANCABERMEJA,LOS PINOS,BARRANCABERMEJA,CUATRO,LOCAL,27,650000,0,'19/06/2020',,'30/07/2020',INACTIVO
8,BARRANCABERMEJA,GALAN GOMEZ,BARRANCABERMEJA,CUATRO,CASA,97,780000,0,'06/12/2019',,'21/02/2020',INACTIVO
9,BARRANCABERMEJA,LA LIBERTAD,BARRANCABERMEJA,CUATRO,LOCAL,29,1100000,170000,'07/07/2020',,'29/09/2020',VIGENTE
10,BARRANCABERMEJA,PALMIRA,BARRANCABERMEJA,CUATRO,CASA,52,744000,156000,'24/01/2020',,'30/01/2020',VIGENTE
11,BARRANCABERMEJA,EL PALMAR,BARRANCABERMEJA,CUATRO,CASA,55,900000,307440,'24/06/2020',,'10/07/2020',VIGENTE
12,BARRANCABERMEJA,PALMIRA,BARRANCABERMEJA,CUATRO,CASA,31,900000,158000,'23/07/2020',,'10/09/2020',VIGENTE
13,BARRANCABERMEJA,LOS PINOS,BARRANCABERMEJA,CUATRO,LOCAL,14,600000,0,'15/12/2020',,'22/12/2020',VIGENTE
14,BARRANCABERMEJA,EL PALMAR,BARRANCABERMEJA,CUATRO,APARTAMENTO,79,1300000,329400,'19/11/2020',,'15/12/2020',VIGENTE
15,BARRANCABERMEJA,TORCOROMA,BARRANCABERMEJA,CUATRO,APARTAMENTO,87,721000,279000,'09/07/2020',,'14/09/2020',VIGENTE
16,BARRANCABERMEJA,GALAN,BARRANCABERMEJA,CUATRO,CASA,53,1000000,0,'25/11/2019',,'17/12/2020',VIGENTE
17,BARRANCABERMEJA,GALAN,BARRANCABERMEJA,CUATRO,CASA,63,986100,0,'25/11/2019',,'26/11/2019',INACTIVO
18,BARRANCABERMEJA,GALAN GOMEZ,BARRANCABERMEJA,CUATRO,APARTAMENTO,42,850000,0,'22/11/2019',,'28/08/2020',VIGENTE
19,BARRANCABERMEJA,GALAN GOMEZ,BARRANCABERMEJA,CUATRO,CASA,44,850000,0,'22/11/2019',,'23/11/2019',INACTIVO
20,BARRANCABERMEJA,GALAN,BARRANCABERMEJA,CUATRO,LOCAL,11,882300,0,'25/11/2019',,'29/11/2019',INACTIVO
21,BARRANCABERMEJA,LA LIBERTAD,BARRANCABERMEJA,TRES,CASA,82,1000000,0,'06/07/2020',,'25/07/2020',VIGENTE
22,BARRANCABERMEJA,TORCOROMA,BARRANCABERMEJA,CUATRO,APARTAMENTO,85,900000,192000,'23/07/2020',,'31/07/2020',VIGENTE
23,BARRANCABERMEJA,PALMIRA,BARRANCABERMEJA,CUATRO,APARTAMENTO,58,900000,158000,'23/07/2020',,'30/07/2020',VIGENTE
24,BARRANCABERMEJA,LOS PINOS,BARRANCABERMEJA,CUATRO,APARTAMENTO,91,726600,0,'12/02/2019',,'23/02/2019',VIGENTE
25,BARRANCABERMEJA,LA PENINSULA,BARRANCABERMEJA,DOS,CASA,74,516300,103700,'09/07/2020',,'26/08/2020',VIGENTE
26,BARRANCABERMEJA,LOS PINOS,BARRANCABERMEJA,CUATRO,CASA,86,900000,0,'20/09/2019',,'29/07/2020',VIGENTE
