Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,16060.000000,16180.000000,16000.000000,16180.000000,13076.118164,11950800
2010-01-05,16520.000000,16580.000000,16300.000000,16440.000000,13286.243164,27925850
2010-01-06,16580.000000,16820.000000,16520.000000,16820.000000,13593.347656,22948850
2010-01-07,16820.000000,16820.000000,16260.000000,16260.000000,13140.773438,22107950
2010-01-08,16400.000000,16420.000000,16120.000000,16420.000000,13270.080078,14777550
2010-01-11,16420.000000,16460.000000,15940.000000,15940.000000,12882.159180,19896100
2010-01-12,15940.000000,16180.000000,15900.000000,16180.000000,13076.118164,19218050
2010-01-13,16100.000000,16120.000000,15940.000000,15940.000000,12882.159180,13375300
2010-01-14,16120.000000,16620.000000,16000.000000,16540.000000,13367.058594,26551550
2010-01-15,16640.000000,16860.000000,16580.000000,16840.000000,13609.509766,19905600
2010-01-18,16800.000000,16920.000000,16560.000000,16860.000000,13625.672852,13060400
2010-01-19,17000.000000,17000.000000,16440.000000,16460.000000,13302.405273,12041250
2010-01-20,16460.000000,16740.000000,16460.000000,16680.000000,13480.202148,19200850
2010-01-21,16400.000000,17000.000000,16400.000000,17000.000000,13738.815430,16990100
2010-01-22,16800.000000,16900.000000,16360.000000,16500.000000,13334.731445,23460500
2010-01-25,16320.000000,16960.000000,16300.000000,16840.000000,13609.509766,20578400
2010-01-26,16920.000000,16920.000000,16240.000000,16300.000000,13173.099609,18722300
2010-01-27,16300.000000,16340.000000,16000.000000,16000.000000,12930.650391,18516150
2010-01-28,16160.000000,16300.000000,16060.000000,16160.000000,13059.955078,13795800
2010-01-29,16000.000000,16020.000000,15600.000000,15680.000000,12672.036133,22854100
2010-02-01,15680.000000,15700.000000,15300.000000,15540.000000,12558.895508,25037200
2010-02-02,15800.000000,15800.000000,15400.000000,15440.000000,12478.080078,19677150
2010-02-03,15640.000000,15700.000000,15360.000000,15540.000000,12558.895508,16467700
2010-02-04,15500.000000,15660.000000,15440.000000,15520.000000,12542.731445,11971700
2010-02-05,15160.000000,15220.000000,14940.000000,15000.000000,12122.487305,25705750
2010-02-08,14940.000000,15080.000000,14820.000000,14960.000000,12090.160156,21891500
2010-02-09,14960.000000,15220.000000,14840.000000,15220.000000,12300.281250,16834200
2010-02-10,15260.000000,15280.000000,15040.000000,15100.000000,12203.301758,13174200
2010-02-11,15140.000000,15300.000000,15120.000000,15260.000000,12332.607422,13208300
2010-02-12,15340.000000,15340.000000,14900.000000,15000.000000,12122.487305,22879300
2010-02-16,15000.000000,15180.000000,14960.000000,15120.000000,12219.461914,7723550
2010-02-17,15440.000000,15580.000000,15280.000000,15580.000000,12591.220703,13997150
2010-02-18,15580.000000,15620.000000,15440.000000,15500.000000,12526.566406,7251900
2010-02-19,15380.000000,15540.000000,15180.000000,15200.000000,12284.114258,11094000
2010-02-22,15440.000000,15560.000000,15400.000000,15460.000000,12494.240234,11580550
2010-02-23,15480.000000,15480.000000,15120.000000,15340.000000,12397.258789,12568850
2010-02-24,15180.000000,15220.000000,15000.000000,15040.000000,12154.808594,15052500
2010-02-25,15080.000000,15160.000000,14680.000000,14720.000000,11896.198242,19273900
2010-02-26,14800.000000,14960.000000,14660.000000,14880.000000,12025.506836,15576350
2010-03-02,15220.000000,15480.000000,15120.000000,15400.000000,12445.751953,23494700
2010-03-03,15420.000000,15460.000000,15260.000000,15420.000000,12461.914063,9713550
